,index,state,act_part_pct_2018,act_composite_2018,sat_part_pct_2018,sat_verbal_2018,sat_math_2018,act_part_pct_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,sat_part_pct_2017,sat_verbal_2017,sat_math_2017,sat_total_2017,sat_total_2018,n_act_part_pct_2018,n_act_composite_2018,n_sat_part_pct_2018,n_sat_verbal_2018,n_sat_math_2018,n_act_part_pct_2017,n_act_english_2017,n_act_math_2017,n_act_reading_2017,n_act_science_2017,n_act_composite_2017,n_sat_part_pct_2017,n_sat_verbal_2017,n_sat_math_2017,n_sat_total_2017,n_sat_total_2018,gdp,pci,test,white,black,hispanic,asian,native,hawaii,other,n_gdp,n_pci
21,21,Iowa,0.68,21.8,0.03,634,631,0.67,21.2,21.3,22.6,22.1,21.9,0.02,641,635,1276,1265,0.6559139784946239,0.5189873417721519,0.01020408163265306,0.9447852760736196,0.8628571428571429,0.641304347826087,0.5326086956521738,0.452054794520548,0.5696202531645571,0.8761061946902656,0.5324675324675322,0.0,0.9814814814814815,0.912568306010929,0.9449275362318841,0.897196261682243,183930,63481,,0.86,0.03,0.06,0.03,0.01,0.0,0.02,0.05474934323210814,0.5017400665982324
22,22,Kansas,0.71,21.6,0.04,633,631,0.73,21.1,21.3,22.3,21.7,21.7,0.04,632,628,1260,1264,0.6881720430107526,0.4936708860759495,0.020408163265306124,0.9386503067484663,0.8628571428571429,0.7065217391304348,0.5217391304347827,0.452054794520548,0.5316455696202532,0.8584070796460177,0.5064935064935063,0.020408163265306124,0.9259259259259259,0.8743169398907104,0.8985507246376812,0.8940809968847352,159108,57872,,0.76,0.05,0.12,0.03,0.01,0.0,0.03,0.045772309855568925,0.3613079291955635
23,23,Georgia,0.53,21.4,0.7,542,522,0.55,21.0,20.9,22.0,21.3,21.4,0.61,535,515,1050,1064,0.49462365591397855,0.4683544303797466,0.6938775510204082,0.3803680981595092,0.24,0.5108695652173914,0.5108695652173912,0.3972602739726025,0.4936708860759493,0.84070796460177,0.4675324675324673,0.6020408163265306,0.3271604938271605,0.2568306010928962,0.2898550724637681,0.27102803738317754,563608,57016,,0.53,0.31,0.1,0.04,0.01,0.0,0.02,0.19206229457920562,0.3398763175684134
24,24,Minnesota,0.99,21.3,0.04,643,655,1.0,20.4,21.5,21.8,21.6,21.5,0.03,644,651,1295,1298,0.989247311827957,0.4556962025316456,0.020408163265306124,1.0,1.0,1.0,0.4456521739130433,0.4794520547945205,0.46835443037974683,0.8539823008849559,0.48051948051948046,0.01020408163265306,1.0,1.0,1.0,1.0,350179,71920,,0.8,0.06,0.05,0.05,0.01,0.0,0.03,0.11487434612535877,0.7130267144037455
25,25,Oregon,0.42,21.3,0.48,564,553,0.4,21.2,21.5,22.4,21.7,21.8,0.43,560,548,1108,1117,0.3763440860215054,0.4556962025316456,0.4693877551020408,0.5153374233128835,0.41714285714285715,0.34782608695652173,0.5326086956521738,0.4794520547945205,0.5443037974683542,0.8584070796460177,0.5194805194805195,0.4183673469387755,0.48148148148148145,0.4371584699453552,0.4579710144927536,0.43613707165109034,227155,64610,,0.76,0.02,0.13,0.05,0.01,0.01,0.04,0.0703819380149986,0.5300067599709571
26,26,Alaska,0.33,20.8,0.43,562,544,0.65,18.7,19.8,20.4,19.9,19.8,0.38,547,533,1080,1106,0.2795698924731183,0.39240506329113933,0.4183673469387755,0.5030674846625767,0.3657142857142857,0.6195652173913044,0.2608695652173912,0.2465753424657535,0.29113924050632883,0.7787610619469026,0.25974025974025977,0.3673469387755102,0.4012345679012346,0.3551912568306011,0.37681159420289856,0.40186915887850466,51479,72231,,0.61,0.03,0.07,0.07,0.13,0.01,0.09,0.006847600916581798,0.7208131994692171
27,27,Texas,0.41,20.6,0.66,520,512,0.45,19.5,20.7,21.1,20.9,20.7,0.62,513,507,1020,1032,0.3655913978494624,0.3670886075949369,0.653061224489796,0.24539877300613497,0.18285714285714286,0.4021739130434782,0.3478260869565217,0.36986301369863,0.37974683544303806,0.8230088495575221,0.37662337662337647,0.6122448979591837,0.19135802469135801,0.21311475409836064,0.2028985507246377,0.17133956386292834,1645136,59295,,0.42,0.12,0.4,0.05,0.01,0.01,0.02,0.5832037398157578,0.3969354798327533
28,28,Wisconsin,1.0,20.5,0.03,641,653,1.0,19.7,20.4,20.6,20.9,20.5,0.03,642,649,1291,1294,1.0,0.35443037974683544,0.01020408163265306,0.9877300613496932,0.9885714285714285,1.0,0.3695652173913042,0.328767123287671,0.3164556962025317,0.8230088495575221,0.3506493506493506,0.01020408163265306,0.9876543209876543,0.9890710382513661,0.9884057971014493,0.9875389408099688,321373,63451,a,0.82,0.06,0.07,0.03,0.01,0.0,0.02,0.10445647393759837,0.5009889587141033
29,29,Utah,1.0,20.4,0.04,480,530,1.0,19.5,19.9,20.8,20.6,20.3,0.03,624,614,1238,1010,1.0,0.341772151898734,0.020408163265306124,0.0,0.2857142857142857,1.0,0.3478260869565217,0.2602739726027395,0.34177215189873417,0.8097345132743364,0.32467532467532473,0.01020408163265306,0.8765432098765432,0.7978142076502732,0.8347826086956521,0.102803738317757,164917,71319,a,0.79,0.01,0.14,0.02,0.01,0.01,0.02,0.04787317146560504,0.6979795197916927
30,30,North Dakota,0.98,20.3,0.02,640,643,0.98,19.0,20.4,20.5,20.6,20.3,0.02,635,621,1256,1283,0.978494623655914,0.329113924050633,0.0,0.9815950920245399,0.9314285714285714,0.9782608695652174,0.2934782608695652,0.328767123287671,0.3037974683544303,0.8097345132743364,0.32467532467532473,0.0,0.9444444444444444,0.8360655737704918,0.8869565217391304,0.9532710280373832,52527,59886,a,0.85,0.03,0.03,0.02,0.06,0.0,0.02,0.0072266167484492175,0.4117323051500964
